id,denekId,sayac,yatirim,rakip,secim,secimsure,kazanc,toplam,PE_raw,V_value,PE_normalized,group
4190,10090,22,0,1,1,780,20,940,2.0,0.0,0.38468501515418335,0
4191,10090,23,0,1,1,921,20,960,2.0,0.0,0.38468501515418335,0
4192,10090,24,0,1,1,2496,20,980,2.0,0.0,0.38468501515418335,0
4193,10090,25,0,1,1,920,20,1000,2.0,0.0,0.38468501515418335,0
4194,10090,26,1,0,1,1638,0,1000,0.0,0.0,-0.247673913866392,0
4195,10090,27,1,0,1,1045,0,1000,0.0,0.0,-0.247673913866392,0
4196,10090,28,1,1,1,1263,60,1060,6.0,0.0,1.649402873195334,0
4197,10090,29,1,1,1,1045,60,1120,0.0,6.0,-0.247673913866392,0
4198,10090,30,1,0,1,1357,0,1120,-6.0,6.0,-2.144750700928118,0
4199,10090,31,0,1,1,1045,20,1140,2.0,0.0,0.38468501515418335,0
4200,10090,32,0,1,1,749,20,1160,2.0,0.0,0.38468501515418335,0
4201,10090,33,0,1,1,811,20,1180,2.0,0.0,0.38468501515418335,0
4202,10090,34,0,1,1,1170,20,1200,2.0,0.0,0.38468501515418335,0
4203,10090,35,0,1,1,1155,20,1220,2.0,0.0,0.38468501515418335,0
4204,10090,36,0,1,1,920,20,1240,2.0,0.0,0.38468501515418335,0
4205,10090,37,1,0,1,1576,0,1240,0.0,0.0,-0.247673913866392,0
4206,10090,38,1,1,1,1170,60,1300,6.0,0.0,1.649402873195334,0
4207,10090,39,1,0,1,1123,0,1300,-6.0,6.0,-2.144750700928118,0
4208,10090,40,0,1,1,1700,20,1320,2.0,0.0,0.38468501515418335,0
4209,10090,41,0,1,1,982,20,1340,2.0,0.0,0.38468501515418335,0
4210,10090,42,0,1,1,811,20,1360,2.0,0.0,0.38468501515418335,0
4211,10090,43,0,1,1,1170,20,1380,2.0,0.0,0.38468501515418335,0
4212,10090,44,0,1,1,1233,20,1400,2.0,0.0,0.38468501515418335,0
4213,10090,45,0,1,1,1076,20,1420,2.0,0.0,0.38468501515418335,0
4214,10090,46,0,1,1,889,20,1440,2.0,0.0,0.38468501515418335,0
4215,10090,47,0,1,1,812,20,1460,2.0,0.0,0.38468501515418335,0
4216,10090,48,0,1,1,889,20,1480,2.0,0.0,0.38468501515418335,0
4217,10090,49,0,1,1,796,20,1500,2.0,0.0,0.38468501515418335,0
4218,10090,50,0,1,1,1046,20,1520,2.0,0.0,0.38468501515418335,0
4219,10090,51,0,1,1,1389,20,1540,2.0,0.0,0.38468501515418335,0
4220,10090,52,1,1,1,2152,60,1600,6.0,0.0,1.649402873195334,0
4221,10090,53,1,1,1,1185,60,1660,0.0,6.0,-0.247673913866392,0
4222,10090,54,0,1,1,967,20,1680,-4.0,6.0,-1.5123917719075426,0
4223,10090,55,1,1,1,1685,60,1740,0.0,6.0,-0.247673913866392,0
4224,10090,56,1,1,1,827,60,1800,0.0,6.0,-0.247673913866392,0
4225,10090,57,1,1,1,920,60,1860,0.0,6.0,-0.247673913866392,0
4226,10090,58,1,1,1,998,60,1920,0.0,6.0,-0.247673913866392,0
4227,10090,59,1,1,1,874,60,1980,0.0,6.0,-0.247673913866392,0
4228,10091,0,1,0,1,1435,0,0,-1.0,1.0,-0.37463294526459695,0
4229,10091,1,1,1,1,998,60,60,5.313818181818181,0.6861818181818182,1.721773656701506,0
4230,10091,2,1,1,1,827,60,120,3.6462454214876034,2.3537545785123966,1.1680816682177406,0
4231,10091,3,1,1,1,1045,60,180,2.501987312853494,3.498012687146506,0.788148292847244,0
4232,10091,4,1,1,1,1030,60,240,1.716818203401652,4.283181796598348,0.5274449185475613,0
4233,10091,5,1,1,1,921,60,300,1.1780494362977878,4.821950563702212,0.34855500316446986,0
4234,10091,6,1,1,1,967,60,360,0.8083561041068821,5.191643895893118,0.22580399577250868,0
4235,10091,7,1,1,1,842,60,420,0.5546792612544316,5.445320738745568,0.141574486336643,0
4236,10091,8,1,0,1,1139,0,420,-5.619389176004686,5.619389176004686,-1.9084303538618552,0
4237,10091,9,1,1,0,0,0,420,-3.855922681862125,3.855922681862125,-1.3228983201215554,0
4238,10091,10,1,1,1,1467,60,480,3.354135963391334,2.645864036608666,1.0710911976632949,0
4239,10091,11,1,1,1,812,60,540,2.30154711378889,3.69845288621111,0.7215951954158843,0
4240,10091,12,1,1,1,609,60,600,1.5792797831707768,4.420720216829223,0.4817773931464793,0
4241,10091,13,1,0,1,780,0,600,-4.9163269269660885,4.9163269269660885,-1.6749893047163422,0
4242,10091,14,1,0,1,1077,0,600,-3.3734941495218216,3.3734941495218216,-1.1627153165806159,0
4243,10091,15,0,1,1,1419,20,620,-0.31483034914460983,2.31483034914461,-0.14713285923798078,0
4244,10091,16,1,1,1,1123,60,680,3.68516965085539,2.31483034914461,1.1810058622748416,0
